unix,date,symbol,open,high,low,close,volume-btc,Volume USD
1633737600,2021-10-09 00:00:00,BTC/USD,53952.82,55512.05,53674.69,54976.92,1061.02324334,58331789.96724371
1633651200,2021-10-08 00:00:00,BTC/USD,53816.16,56168.00,53623.02,53957.21,2217.75513685,119663879.64759418
1633564800,2021-10-07 00:00:00,BTC/USD,55360.10,55360.32,53289.57,53787.60,2349.70121453,126384789.04665382
1633478400,2021-10-06 00:00:00,BTC/USD,51521.89,55800.00,50428.64,55345.79,4441.90271751,245840615.00373778
1633392000,2021-10-05 00:00:00,BTC/USD,49283.89,51914.68,49075.00,51501.19,2206.59644303,113642342.66581221
1633305600,2021-10-04 00:00:00,BTC/USD,48231.04,49530.53,46900.00,49242.14,2737.78053315,134814172.30264693
1633219200,2021-10-03 00:00:00,BTC/USD,47644.63,49225.55,47119.87,48235.93,1164.60296870,56175707.276005395
1633132800,2021-10-02 00:00:00,BTC/USD,48185.61,48361.83,47468.15,47685.80,1361.84402667,64940621.88698029
1633046400,2021-10-01 00:00:00,BTC/USD,43835.47,48500.00,43291.07,48171.86,3446.87226506,166042248.1903532
1632960000,2021-09-30 00:00:00,BTC/USD,41537.56,44117.74,41427.87,43834.43,2614.50420927,114605301.74595118
1632873600,2021-09-29 00:00:00,BTC/USD,41024.21,42595.93,40750.00,41542.90,1804.77808474,74975715.49654534
1632787200,2021-09-28 00:00:00,BTC/USD,42154.87,42778.93,40888.00,41049.00,2246.85357977,92231092.59597874
1632700800,2021-09-27 00:00:00,BTC/USD,43162.82,44377.70,42130.00,42189.81,1936.64957217,81706877.48643358
1632614400,2021-09-26 00:00:00,BTC/USD,42699.10,43956.38,40808.00,43204.73,1659.78466242,71710548.19799724
1632528000,2021-09-25 00:00:00,BTC/USD,42835.88,43010.69,41689.60,42722.19,879.19677382,37561211.618525065
1632441600,2021-09-24 00:00:00,BTC/USD,44893.70,45159.90,40693.27,42848.50,4348.92828394,186345053.5744031
1632355200,2021-09-23 00:00:00,BTC/USD,43586.00,45013.17,43105.00,44903.50,2317.75578384,104075346.83965944
1632268800,2021-09-22 00:00:00,BTC/USD,40702.07,44031.85,40580.18,43589.53,3040.94514066,132553369.4371533
1632182400,2021-09-21 00:00:00,BTC/USD,43003.07,43643.34,39573.21,40596.54,5961.58790269,242019841.75507072
1632096000,2021-09-20 00:00:00,BTC/USD,47257.86,47334.54,42453.97,43035.99,4240.48541968,182493488.11649427
1632009600,2021-09-19 00:00:00,BTC/USD,48307.05,48389.52,46860.00,47245.25,999.59599085,47226162.48670597
1631923200,2021-09-18 00:00:00,BTC/USD,47316.21,48834.00,47052.90,48326.74,1452.50623073,70194890.96086872
1631836800,2021-09-17 00:00:00,BTC/USD,47773.44,48179.00,46712.14,47305.18,1558.52317573,73726219.36207928
1631750400,2021-09-16 00:00:00,BTC/USD,48188.12,48505.00,47035.00,47760.64,1886.04173385,90078560.27538566
1631664000,2021-09-15 00:00:00,BTC/USD,47123.81,48465.77,46702.26,48150.94,1307.24871087,62945254.242178716
1631577600,2021-09-14 00:00:00,BTC/USD,44983.77,47273.38,44704.18,47103.18,1643.95662405,77435584.77481948
1631491200,2021-09-13 00:00:00,BTC/USD,46039.42,46895.82,43400.00,44974.34,2308.42207379,103819759.21013655
1631404800,2021-09-12 00:00:00,BTC/USD,45162.96,46491.63,44752.96,46035.00,1015.76215832,46760610.9582612
1631318400,2021-09-11 00:00:00,BTC/USD,44858.20,45993.32,44767.75,45176.66,906.80620376,40966475.55315625
1631232000,2021-09-10 00:00:00,BTC/USD,46368.11,47029.08,44125.00,44857.38,2392.57110617,107324471.28648803
1631145600,2021-09-09 00:00:00,BTC/USD,46070.43,47419.95,45550.00,46392.81,2595.98696952,120435130.23941715
1631059200,2021-09-08 00:00:00,BTC/USD,46894.30,47386.72,44436.93,46091.94,3309.09834404,152522762.32759103
1630972800,2021-09-07 00:00:00,BTC/USD,52719.43,52956.47,42900.01,46866.82,6811.92218815,319253131.0460322
1630886400,2021-09-06 00:00:00,BTC/USD,51809.28,52810.00,51024.32,52708.20,2057.32862241,108438088.49571076
1630800000,2021-09-05 00:00:00,BTC/USD,49965.32,51900.00,49500.00,51809.28,986.48708300,51109185.49953024
1630713600,2021-09-04 00:00:00,BTC/USD,50033.50,50570.94,49388.26,49943.16,869.28839285,43415009.29025041
1630627200,2021-09-03 00:00:00,BTC/USD,49284.93,51050.00,48351.60,50025.04,2226.78294854,111394906.07203144
1630540800,2021-09-02 00:00:00,BTC/USD,48830.93,50390.00,48625.00,49274.79,2267.93197524,111751871.81423621
1630454400,2021-09-01 00:00:00,BTC/USD,47118.02,49134.00,46532.42,48853.49,2194.63007880,107215338.608355
1630368000,2021-08-31 00:00:00,BTC/USD,46969.05,48270.33,46699.00,47156.09,2239.16770320,105590393.73719247
1630281600,2021-08-30 00:00:00,BTC/USD,48782.56,48915.29,46855.41,47003.44,1676.48255108,78800447.00073572
